person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,33000.0,RENT,2.0,EDUCATION,B,10000.0,16.77,1,0.3,N,2
25,45000.0,RENT,0.0,VENTURE,C,10000.0,12.98,0,0.22,Y,2
23,72000.0,RENT,8.0,MEDICAL,B,3000.0,11.99,0,0.04,N,2
21,42000.0,RENT,4.0,HOMEIMPROVEMENT,E,5000.0,15.96,1,0.12,N,2
30,56000.0,MORTGAGE,3.0,MEDICAL,D,7500.0,17.15,1,0.13,Y,9
22,49000.0,RENT,5.0,EDUCATION,A,25000.0,7.66,1,0.51,N,3
21,22453.68,RENT,7.0,PERSONAL,E,4200.0,15.21,1,0.19,N,2
22,24000.0,MORTGAGE,1.0,VENTURE,C,5000.0,14.65,1,0.21,N,4
23,63750.0,MORTGAGE,2.0,MEDICAL,C,15000.0,12.87,1,0.2,N,4
24,83500.0,RENT,1.0,EDUCATION,C,20000.0,13.48,0,0.24,N,3
22,30000.0,RENT,7.0,EDUCATION,C,5000.0,15.65,1,0.17,Y,2
23,55000.0,RENT,5.0,DEBTCONSOLIDATION,B,20000.0,12.53,1,0.36,N,2
24,75996.0,RENT,1.0,DEBTCONSOLIDATION,E,10000.0,16.0,1,0.13,N,2
23,27996.0,RENT,3.0,MEDICAL,C,5500.0,12.53,0,0.2,N,2
24,19200.0,RENT,0.0,PERSONAL,D,5000.0,14.87,1,0.26,Y,8
34,30000.0,RENT,5.0,MEDICAL,A,4200.0,5.79,0,0.14,N,8
25,101424.0,RENT,6.0,DEBTCONSOLIDATION,A,2000.0,7.29,0,0.02,N,4
27,36000.0,RENT,1.0,MEDICAL,E,7200.0,14.17,1,0.2,N,4
25,30000.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,2750.0,7.9,1,0.09,N,10
25,86004.0,MORTGAGE,3.0,PERSONAL,A,15000.0,6.91,1,0.17,N,4
23,25000.0,RENT,1.0,VENTURE,B,4025.0,9.91,0,0.16,N,4
22,18000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,C,6000.0,15.23,1,0.33,Y,3
22,33500.0,RENT,0.0,PERSONAL,D,12000.0,11.48,1,0.36,N,5
29,42000.0,RENT,0.0,VENTURE,D,5000.0,14.96,1,0.12,Y,5
21,36140.0,RENT,5.0,EDUCATION,A,9000.0,8.94,1,0.25,N,2
24,54996.0,RENT,0.0,DEBTCONSOLIDATION,C,12500.0,12.87,0,0.23,N,2
24,79606.23,RENT,1.0,MEDICAL,A,7500.0,9.32,1,0.09,N,10
25,75000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000.0,9.99,0,0.2,N,4
22,15000.0,OWN,0.0,MEDICAL,A,6000.0,11.36,1,0.4,N,2
22,39000.0,RENT,2.0,DEBTCONSOLIDATION,B,7000.0,8.49,1,0.18,N,2
33,70000.0,MORTGAGE,0.0,PERSONAL,C,5600.0,13.57,0,0.08,Y,8
26,138000.0,RENT,2.0,VENTURE,D,20000.0,14.03,1,0.14,N,3
24,49000.0,OTHER,1.0,PERSONAL,C,20000.0,11.34,1,0.41,Y,4
36,31000.0,RENT,2.0,MEDICAL,D,8000.0,14.11,1,0.26,N,12
22,47000.0,MORTGAGE,6.0,MEDICAL,B,24000.0,10.37,1,0.51,N,4
23,78000.0,RENT,5.0,EDUCATION,D,2300.0,17.58,0,0.03,Y,2
23,60000.0,MORTGAGE,3.0,PERSONAL,C,12000.0,15.27,0,0.2,Y,4
24,25344.0,MORTGAGE,5.0,MEDICAL,D,4000.0,16.49,1,0.16,N,3
23,78000.0,RENT,5.0,VENTURE,D,3000.0,16.89,0,0.04,N,3
22,40000.0,MORTGAGE,7.0,PERSONAL,A,10850.0,7.66,0,0.27,N,4
46,85000.0,OTHER,0.0,HOMEIMPROVEMENT,A,1000.0,7.68,0,0.01,N,12
42,100000.0,MORTGAGE,7.0,EDUCATION,C,5000.0,14.26,0,0.05,Y,15
33,38500.0,RENT,1.0,DEBTCONSOLIDATION,A,5000.0,7.14,0,0.13,N,10
23,68000.0,MORTGAGE,7.0,VENTURE,A,12000.0,7.51,0,0.18,N,3
36,50000.0,MORTGAGE,13.0,PERSONAL,C,12250.0,12.73,0,0.24,N,12
30,36819.02,RENT,0.0,PERSONAL,D,7000.0,17.99,1,0.19,Y,8
25,69000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,15900.0,13.22,0,0.23,Y,3
24,52000.0,MORTGAGE,7.0,MEDICAL,C,5000.0,14.22,0,0.1,N,2
23,48996.0,RENT,2.0,MEDICAL,D,15000.0,15.99,1,0.31,N,4
25,540100.94,RENT,0.0,MEDICAL,D,15000.0,15.65,1,0.03,Y,4
29,90000.0,RENT,4.0,VENTURE,B,12000.0,10.74,0,0.13,N,10
29,52000.0,MORTGAGE,12.0,MEDICAL,A,5000.0,5.42,0,0.1,N,7
22,19806.54,RENT,9.0,MEDICAL,B,6000.0,13.06,1,0.3,N,2
25,145000.0,MORTGAGE,7.0,MEDICAL,A,12000.0,5.79,0,0.08,N,2
25,32000.0,RENT,0.0,VENTURE,B,11932.13,13.85,1,0.37,N,4
22,48000.0,MORTGAGE,7.0,VENTURE,B,6500.0,10.62,0,0.14,N,3
29,200000.0,RENT,2.0,DEBTCONSOLIDATION,B,15000.0,10.37,0,0.07,N,5
22,48000.0,RENT,7.0,PERSONAL,A,8800.0,6.62,0,0.18,N,4
24,57996.0,RENT,8.0,MEDICAL,D,2000.0,15.37,1,0.03,N,4
24,36617.97,RENT,2.0,VENTURE,D,25000.0,12.84,1,0.68,N,4
31,24996.0,RENT,0.0,PERSONAL,C,10750.0,12.53,1,0.43,Y,7
25,54000.0,RENT,7.0,HOMEIMPROVEMENT,C,13000.0,8.62,1,0.24,N,2
23,33996.0,RENT,1.0,EDUCATION,A,1500.0,6.99,0,0.04,N,4
24,100000.0,MORTGAGE,1.0,EDUCATION,B,6600.0,9.91,0,0.07,N,2
22,14400.0,RENT,3.0,DEBTCONSOLIDATION,D,6000.0,19.41,1,0.42,Y,2
41,35000.0,MORTGAGE,18.0,DEBTCONSOLIDATION,C,1500.0,13.06,0,0.04,N,12
23,50000.0,RENT,6.0,EDUCATION,E,6400.0,20.2,0,0.13,N,2
28,34689.07,RENT,1.0,VENTURE,C,6000.0,6.91,1,0.17,N,4
37,54586.0,RENT,7.0,DEBTCONSOLIDATION,E,17000.0,14.46,1,0.31,N,4
24,90474.0,MORTGAGE,8.0,EDUCATION,B,15000.0,10.38,0,0.17,N,3
36,30000.0,RENT,0.0,PERSONAL,E,6000.0,15.28,1,0.2,N,5
23,12000.0,RENT,0.0,MEDICAL,A,2100.0,8.94,1,0.17,N,2
24,31200.0,OWN,8.0,PERSONAL,B,10000.0,12.18,0,0.32,N,2
29,15000.0,RENT,3.0,DEBTCONSOLIDATION,A,6000.0,13.43,1,0.4,N,17
37,22000.0,RENT,2.0,MEDICAL,B,4000.0,10.0,0,0.18,N,17
23,109200.0,MORTGAGE,4.0,VENTURE,A,10000.0,8.63,0,0.09,N,2
22,108800.0,RENT,0.0,EDUCATION,B,18000.0,15.95,1,0.17,Y,2
