person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
28,74800.0,RENT,4.0,MEDICAL,D,20000.0,15.27,1,0.27,N,3
21,15996.0,RENT,2.0,PERSONAL,C,3000.0,6.91,1,0.19,N,2
21,18000.0,RENT,1.0,HOMEIMPROVEMENT,B,15000.0,11.01,1,0.83,N,2
23,58650.0,MORTGAGE,5.0,VENTURE,B,4650.0,14.84,1,0.08,Y,10
22,33493.49,RENT,1.0,PERSONAL,B,11200.0,14.59,1,0.33,N,3
21,62900.0,RENT,10.0,DEBTCONSOLIDATION,D,16000.0,8.59,1,0.25,N,4
30,34000.0,RENT,5.0,DEBTCONSOLIDATION,A,5000.0,14.61,1,0.15,N,2
33,54000.0,RENT,0.0,PERSONAL,B,7000.0,14.74,1,0.13,Y,8
26,108000.0,RENT,1.0,PERSONAL,A,10000.0,13.8,1,0.09,Y,3
28,58650.0,MORTGAGE,10.0,PERSONAL,C,19000.0,9.62,1,0.32,N,7
22,24986.21,OWN,5.0,VENTURE,C,13000.0,7.74,1,0.52,N,2
42,79029.16,MORTGAGE,1.0,DEBTCONSOLIDATION,A,14500.0,14.96,1,0.18,N,2
22,45000.0,RENT,1.0,HOMEIMPROVEMENT,C,11000.0,8.9,1,0.24,N,4
29,30000.0,RENT,0.0,HOMEIMPROVEMENT,D,10625.0,18.79,1,0.35,Y,10
30,26000.0,RENT,0.0,DEBTCONSOLIDATION,C,14400.0,8.0,1,0.55,N,4
25,27000.0,RENT,0.0,PERSONAL,A,2500.0,5.99,1,0.09,N,4
29,46000.0,RENT,3.0,MEDICAL,C,6000.0,10.75,1,0.13,N,4
23,37799.92,RENT,0.0,MEDICAL,D,3200.0,13.99,1,0.08,N,4
20,24000.0,RENT,0.0,VENTURE,C,10000.0,12.68,1,0.42,Y,2
30,70550.0,RENT,10.0,PERSONAL,D,22139.58,10.99,1,0.31,N,6
22,27600.0,RENT,9.0,PERSONAL,D,4000.0,15.27,1,0.14,N,2
23,75000.0,RENT,10.0,MEDICAL,B,5000.0,11.97,1,0.07,N,9
21,58000.0,RENT,8.0,PERSONAL,C,9900.0,9.45,1,0.17,Y,2
26,35280.0,RENT,10.0,HOMEIMPROVEMENT,B,6000.0,12.42,1,0.17,N,12
23,51000.0,MORTGAGE,10.0,MEDICAL,D,10000.0,17.04,1,0.2,Y,4
26,34800.0,RENT,0.0,PERSONAL,A,6000.0,11.83,1,0.17,N,2
21,24996.0,MORTGAGE,1.0,MEDICAL,B,3250.0,13.61,1,0.13,N,2
33,42000.0,RENT,0.0,VENTURE,D,18000.0,15.27,1,0.43,N,2
26,30000.0,RENT,2.0,PERSONAL,B,12000.0,16.29,1,0.4,N,4
27,24000.0,MORTGAGE,0.0,MEDICAL,E,12250.0,8.9,1,0.51,N,8
25,79075.29,RENT,10.0,HOMEIMPROVEMENT,B,12000.0,10.95,1,0.15,Y,4
33,85000.0,RENT,1.0,PERSONAL,A,10000.0,11.71,1,0.12,Y,4
23,21600.0,RENT,6.0,DEBTCONSOLIDATION,B,7200.0,8.9,1,0.33,N,2
22,31200.0,RENT,2.0,EDUCATION,D,6000.0,14.09,1,0.19,N,2
41,21600.0,RENT,4.0,VENTURE,D,4000.0,16.77,1,0.19,Y,23
22,36000.0,RENT,2.0,PERSONAL,D,8400.0,14.96,1,0.23,N,8
26,128000.0,RENT,0.0,EDUCATION,G,15850.0,16.0,1,0.12,N,7
